Day,Month,Year,Hour,Minute,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
20,2,2020,6,5,5,7,10,5,5,9,4
20,2,2020,6,10,5,7,11,4,6,10,2
20,2,2020,6,15,5,6,7,5,7,12,2
20,2,2020,6,20,5,6,7,5,7,12,2
20,2,2020,6,25,5,5,8,5,7,13,1
20,2,2020,6,30,5,4,7,5,10,12,2
20,2,2020,6,35,7,2,7,4,9,12,3
20,2,2020,6,40,5,3,9,4,8,8,3
20,2,2020,6,45,6,4,9,4,7,7,1
20,2,2020,6,50,7,2,11,5,7,7,1
20,2,2020,6,55,7,4,9,6,7,7,1
20,2,2020,7,0,8,4,7,5,5,8,3
20,2,2020,7,5,9,6,7,4,7,9,5
20,2,2020,7,10,9,5,7,4,8,11,6
20,2,2020,7,15,7,7,7,4,6,10,3
20,2,2020,7,20,7,7,5,5,6,11,3
20,2,2020,7,25,7,8,6,4,12,11,2
20,2,2020,7,30,7,9,7,4,12,7,3
20,2,2020,7,35,8,8,7,5,9,6,2
20,2,2020,7,40,7,8,6,5,10,6,3
20,2,2020,7,45,6,8,7,7,9,9,2
20,2,2020,7,50,6,6,7,7,10,7,2
20,2,2020,7,55,7,4,6,6,10,8,3
20,2,2020,8,0,6,4,5,6,10,9,3
20,2,2020,8,5,7,6,7,6,11,11,4
20,2,2020,8,10,7,9,7,6,10,7,4
20,2,2020,8,15,6,7,5,8,9,8,5
20,2,2020,8,20,7,9,5,7,9,4,5
20,2,2020,8,25,9,11,5,6,13,3,5
20,2,2020,8,30,8,10,7,6,10,4,4
20,2,2020,8,35,8,10,8,3,9,7,3
20,2,2020,8,40,8,11,9,4,10,5,4
20,2,2020,8,45,9,12,6,6,12,8,3
20,2,2020,8,50,8,11,7,6,14,10,3
20,2,2020,8,55,9,12,9,6,13,10,3
20,2,2020,9,0,8,13,9,6,10,9,3
20,2,2020,9,5,8,12,8,6,11,6,3
20,2,2020,9,10,7,11,7,5,11,9,4
20,2,2020,9,15,8,13,7,5,10,9,3
20,2,2020,9,20,8,14,6,5,12,8,4
20,2,2020,9,25,8,15,5,5,15,6,5
20,2,2020,9,30,9,13,5,5,15,7,6
20,2,2020,9,35,9,13,2,6,13,10,6
20,2,2020,9,40,7,11,4,5,12,8,7
20,2,2020,9,45,9,13,4,5,12,10,9
20,2,2020,9,50,8,13,3,6,11,8,11
20,2,2020,9,55,7,8,5,5,9,8,10
20,2,2020,10,0,5,13,6,6,10,8,9
20,2,2020,10,5,6,15,6,7,12,9,8
20,2,2020,10,10,5,17,6,6,8,8,6
20,2,2020,10,15,6,16,6,8,8,8,5
20,2,2020,10,20,7,13,8,7,10,9,4
20,2,2020,10,25,5,12,11,5,10,8,5
20,2,2020,10,30,5,9,14,6,11,7,4
20,2,2020,10,35,5,11,12,6,12,7,3
20,2,2020,10,40,5,14,13,7,10,7,4
20,2,2020,10,45,5,15,12,5,10,9,5
20,2,2020,10,50,6,14,13,6,7,8,4
20,2,2020,10,55,5,13,11,5,7,8,5
20,2,2020,11,0,5,12,13,5,8,8,8
20,2,2020,11,5,6,13,10,5,8,10,8
20,2,2020,11,10,5,11,11,6,10,11,8
20,2,2020,11,15,3,13,10,6,12,9,7
20,2,2020,11,20,5,12,12,7,12,9,7
20,2,2020,11,25,5,11,11,7,13,9,6
20,2,2020,11,30,4,8,11,7,13,8,4
20,2,2020,11,35,4,9,11,7,11,7,3
20,2,2020,11,40,6,7,13,7,13,7,1
20,2,2020,11,45,5,6,12,4,13,9,4
20,2,2020,11,50,6,7,12,3,10,10,6
20,2,2020,11,55,6,10,10,3,10,9,6
20,2,2020,12,0,9,12,10,3,12,9,8
20,2,2020,12,5,11,12,11,3,15,8,8
20,2,2020,12,10,11,13,11,4,16,7,7
20,2,2020,12,15,10,9,9,5,20,7,8
20,2,2020,12,20,8,11,15,4,23,7,10
20,2,2020,12,25,6,13,16,5,19,9,11
20,2,2020,12,30,4,16,15,6,20,8,12
20,2,2020,12,35,4,13,17,9,18,9,12
20,2,2020,12,40,6,9,18,8,18,7,10
20,2,2020,12,45,6,13,17,8,16,9,7
20,2,2020,12,50,7,12,12,8,15,9,6
20,2,2020,12,55,6,15,13,8,14,10,5
20,2,2020,13,0,5,13,11,7,12,10,7
20,2,2020,13,5,8,12,13,5,15,10,7
20,2,2020,13,10,7,12,13,5,19,7,8
20,2,2020,13,15,11,11,12,7,18,6,6
20,2,2020,13,20,9,9,12,7,15,6,5
20,2,2020,13,25,9,8,12,6,16,4,6
20,2,2020,13,30,9,11,11,6,15,6,8
20,2,2020,13,35,8,13,12,5,14,8,11
20,2,2020,13,40,8,13,13,6,15,8,11
20,2,2020,13,45,8,14,10,7,17,8,9
20,2,2020,13,50,8,14,10,7,18,7,7
20,2,2020,13,55,6,14,7,7,13,5,7
20,2,2020,14,0,5,17,7,6,16,6,6
20,2,2020,14,5,4,15,7,5,14,7,6
20,2,2020,14,10,4,17,6,4,15,6,5
20,2,2020,14,15,5,17,7,4,19,6,7
20,2,2020,14,20,4,15,7,5,17,5,8
20,2,2020,14,25,6,19,10,5,17,6,9
20,2,2020,14,30,5,20,9,5,13,4,11
20,2,2020,14,35,4,17,9,8,14,4,10
20,2,2020,14,40,5,18,8,4,15,4,11
20,2,2020,14,45,4,15,10,6,14,5,10
20,2,2020,14,50,6,14,10,6,14,5,11
20,2,2020,14,55,6,13,11,6,13,6,11
20,2,2020,15,0,8,13,10,8,16,7,12
20,2,2020,15,5,8,16,11,7,14,7,12
20,2,2020,15,10,10,17,11,8,11,6,11
20,2,2020,15,15,10,17,9,7,9,7,10
20,2,2020,15,20,12,16,10,8,9,5,10
20,2,2020,15,25,11,13,9,8,7,6,10
20,2,2020,15,30,12,16,10,10,10,8,10
20,2,2020,15,35,10,17,9,11,12,10,10
20,2,2020,15,40,10,14,8,11,16,8,11
20,2,2020,15,45,10,16,7,11,18,8,12
20,2,2020,15,50,9,13,7,8,24,6,10
20,2,2020,15,55,8,14,9,9,24,2,10
20,2,2020,16,0,8,13,10,9,24,4,10
20,2,2020,16,5,7,11,7,8,22,4,11
20,2,2020,16,10,7,14,8,6,25,4,10
20,2,2020,16,15,8,14,11,7,20,4,10
20,2,2020,16,20,5,13,10,6,18,6,9
20,2,2020,16,25,6,15,12,4,17,5,6
20,2,2020,16,30,11,12,12,4,14,2,8
20,2,2020,16,35,9,15,12,5,13,3,8
20,2,2020,16,40,7,18,15,7,18,5,8
20,2,2020,16,45,8,19,9,7,19,5,10
20,2,2020,16,50,8,17,4,8,21,6,11
20,2,2020,16,55,8,16,7,8,16,6,9
20,2,2020,17,0,7,17,9,7,18,6,6
20,2,2020,17,5,8,19,8,7,16,7,7
20,2,2020,17,10,8,15,7,9,16,8,9
20,2,2020,17,15,11,13,8,8,15,6,10
20,2,2020,17,20,9,14,7,8,18,8,9
20,2,2020,17,25,9,11,5,9,16,5,10
20,2,2020,17,30,13,11,8,9,18,4,10
20,2,2020,17,35,13,12,8,10,16,4,9
20,2,2020,17,40,12,9,6,9,17,6,9
20,2,2020,17,45,10,13,6,7,16,7,7
20,2,2020,17,50,12,13,8,7,15,7,8
20,2,2020,17,55,10,17,9,9,14,8,5
20,2,2020,18,0,10,20,10,8,16,7,7
20,2,2020,18,5,8,14,7,8,14,6,7
20,2,2020,18,10,10,20,8,8,22,7,7
20,2,2020,18,15,10,21,9,6,18,8,6
20,2,2020,18,20,8,16,11,7,17,8,7
20,2,2020,18,25,11,16,7,7,15,7,8
20,2,2020,18,30,11,18,9,7,17,8,5
20,2,2020,18,35,12,17,11,7,16,7,4
20,2,2020,18,40,9,17,12,9,17,7,5
20,2,2020,18,45,9,18,14,9,18,5,5
20,2,2020,18,50,7,14,15,8,17,5,4
20,2,2020,18,55,7,14,12,5,17,5,4
20,2,2020,19,0,9,16,13,7,19,6,7
20,2,2020,19,5,13,14,13,7,16,8,8
20,2,2020,19,10,14,14,14,5,14,8,8
20,2,2020,19,15,13,14,14,7,13,7,10
20,2,2020,19,20,12,13,12,9,19,8,11
20,2,2020,19,25,11,15,12,10,20,11,9
20,2,2020,19,30,11,15,15,11,14,13,10
20,2,2020,19,35,11,14,13,11,16,14,7
20,2,2020,19,40,10,16,9,11,14,13,7
20,2,2020,19,45,11,15,8,11,19,10,7
20,2,2020,19,50,12,12,9,10,17,9,9
20,2,2020,19,55,10,15,9,8,14,15,9
20,2,2020,20,0,12,14,7,9,14,11,6
20,2,2020,20,5,11,16,10,8,14,12,9
20,2,2020,20,10,8,15,8,7,15,12,13
20,2,2020,20,15,8,11,14,7,13,12,13
20,2,2020,20,20,14,10,12,6,12,11,15
20,2,2020,20,25,13,9,12,8,15,12,14
20,2,2020,20,30,15,9,10,4,13,10,12
20,2,2020,20,35,13,8,10,8,13,13,12
20,2,2020,20,40,11,10,10,7,13,12,14
20,2,2020,20,45,12,9,9,7,14,12,10
20,2,2020,20,50,15,9,7,5,14,12,11
20,2,2020,20,55,16,12,10,5,11,11,8
20,2,2020,21,0,14,13,9,7,10,10,8
20,2,2020,21,5,15,12,11,9,11,9,6
20,2,2020,21,10,14,11,9,11,12,9,10
20,2,2020,21,15,14,8,11,12,15,10,13
20,2,2020,21,20,12,8,13,13,14,11,11
20,2,2020,21,25,12,9,9,13,15,11,11
20,2,2020,21,30,10,9,9,12,18,9,13
20,2,2020,21,35,11,10,9,11,18,8,11
20,2,2020,21,40,13,11,9,11,19,8,12
20,2,2020,21,45,11,11,11,12,18,10,14
20,2,2020,21,50,12,10,8,16,16,9,14
20,2,2020,21,55,9,12,7,17,17,7,14
20,2,2020,22,0,9,12,7,15,18,7,13
20,2,2020,22,5,9,8,7,15,13,7,15
20,2,2020,22,10,8,10,7,14,12,6,12
20,2,2020,22,15,8,8,9,11,9,6,13
20,2,2020,22,20,8,11,8,9,11,8,13
20,2,2020,22,25,7,13,9,10,12,9,14
20,2,2020,22,30,9,14,7,6,13,10,11
20,2,2020,22,35,8,15,8,9,12,13,15
20,2,2020,22,40,10,16,10,10,13,12,17
20,2,2020,22,45,6,15,9,10,12,8,17
20,2,2020,22,50,5,12,9,10,10,13,14
20,2,2020,22,55,7,13,10,8,7,11,11
20,2,2020,23,0,9,12,10,10,8,8,12
20,2,2020,23,5,10,12,8,11,8,7,9
20,2,2020,23,10,10,15,6,10,7,6,7
20,2,2020,23,15,11,12,7,10,4,9,9
20,2,2020,23,20,12,14,7,9,5,10,7
20,2,2020,23,25,13,13,11,10,8,9,6
20,2,2020,23,30,13,16,11,10,9,7,5
20,2,2020,23,35,13,19,11,8,11,6,3
20,2,2020,23,40,12,16,12,8,12,5,3
20,2,2020,23,45,8,16,12,8,13,6,2
20,2,2020,23,50,11,16,14,8,11,10,2
20,2,2020,23,55,13,15,13,9,11,10,5
21,2,2020,0,0,14,13,12,10,9,8,5
21,2,2020,0,5,14,13,12,11,10,7,5
21,2,2020,0,10,13,14,13,11,10,5,3
21,2,2020,0,15,14,13,11,10,9,7,5
21,2,2020,0,20,14,15,10,9,9,7,6
21,2,2020,0,25,11,13,9,7,8,10,6
21,2,2020,0,30,9,10,7,8,6,8,6
21,2,2020,0,35,8,10,7,10,10,7,7
21,2,2020,0,40,6,11,5,7,10,10,6
21,2,2020,0,45,7,11,6,6,11,7,7
21,2,2020,0,50,8,12,6,5,12,8,7
21,2,2020,0,55,7,11,8,5,11,8,5
21,2,2020,1,0,7,11,8,4,11,9,7
21,2,2020,1,5,6,11,9,6,11,8,6
21,2,2020,1,10,5,10,10,8,10,6,8
21,2,2020,1,15,6,11,9,9,9,6,8
21,2,2020,1,20,9,12,11,7,6,6,8
21,2,2020,1,25,8,10,10,7,8,6,5
21,2,2020,1,30,7,10,9,5,8,5,5
21,2,2020,1,35,7,8,4,4,9,7,5
21,2,2020,1,40,6,9,5,5,10,8,5
21,2,2020,1,45,7,10,3,5,11,8,5
21,2,2020,1,50,6,10,5,3,10,6,5
21,2,2020,1,55,5,11,5,3,10,6,5
21,2,2020,2,0,6,10,7,4,12,5,4
21,2,2020,2,5,4,10,7,5,12,5,4
21,2,2020,2,10,4,9,5,4,11,4,4
21,2,2020,2,15,5,9,3,4,11,2,3
21,2,2020,2,20,5,7,3,4,6,4,2
21,2,2020,2,25,5,8,5,5,9,2,2
21,2,2020,2,30,5,8,4,5,7,3,2
21,2,2020,2,35,8,7,3,6,6,7,2
21,2,2020,2,40,8,7,5,6,6,6,5
21,2,2020,2,45,8,9,5,6,7,8,5
21,2,2020,2,50,5,7,3,7,7,8,6
21,2,2020,2,55,6,6,3,6,7,11,5
21,2,2020,3,0,6,7,6,6,7,11,4
21,2,2020,3,5,8,8,6,5,7,9,2
21,2,2020,3,10,7,6,3,4,6,5,2
21,2,2020,3,15,8,6,4,3,6,6,2
21,2,2020,3,20,7,5,3,3,5,8,2
21,2,2020,3,25,5,7,3,3,5,9,3
21,2,2020,3,30,3,8,4,2,5,6,3
21,2,2020,3,35,3,6,4,1,4,7,2
21,2,2020,3,40,2,7,3,2,3,7,5
21,2,2020,3,45,3,7,3,2,2,11,4
21,2,2020,3,50,2,5,1,2,3,9,3
21,2,2020,3,55,1,7,2,3,3,9,3
21,2,2020,4,0,3,8,1,3,4,9,3
21,2,2020,4,5,4,8,3,3,5,10,3
21,2,2020,4,10,4,5,3,3,5,11,5
21,2,2020,4,15,4,8,3,3,8,7,5
21,2,2020,4,20,4,5,2,3,8,7,5
21,2,2020,4,25,5,8,3,2,9,6,4
21,2,2020,4,30,3,8,5,3,10,7,4
21,2,2020,4,35,4,5,3,2,7,9,4
21,2,2020,4,40,4,4,5,2,6,9,3
21,2,2020,4,45,3,4,4,4,6,10,2
21,2,2020,4,50,6,7,4,5,7,10,3
21,2,2020,4,55,6,3,6,5,6,9,4
21,2,2020,5,0,5,7,4,5,6,8,4
21,2,2020,5,5,3,6,6,5,7,6,4
21,2,2020,5,10,4,5,5,4,7,6,5
21,2,2020,5,15,3,6,3,4,8,8,4
21,2,2020,5,20,2,6,4,3,9,8,4
21,2,2020,5,25,5,4,5,4,9,7,4
21,2,2020,5,30,5,3,3,3,7,6,5
21,2,2020,5,35,4,3,3,3,9,6,5
21,2,2020,5,40,5,3,3,3,8,6,4
21,2,2020,5,45,7,4,3,4,10,6,7
21,2,2020,5,50,8,5,4,4,11,7,5
21,2,2020,5,55,9,9,3,4,11,6,6
21,2,2020,6,0,8,7,4,4,10,7,6
21,2,2020,6,5,9,7,6,4,12,9,5
21,2,2020,6,10,9,6,5,4,10,8,4
21,2,2020,6,15,7,5,9,4,8,8,4
21,2,2020,6,20,8,4,9,4,12,7,5
21,2,2020,6,25,5,4,7,4,12,8,5
21,2,2020,6,30,4,4,6,5,10,11,5
21,2,2020,6,35,4,5,7,5,10,9,5
21,2,2020,6,40,3,6,10,4,9,7,5
21,2,2020,6,45,5,6,9,5,8,9,3
21,2,2020,6,50,5,6,7,5,9,10,5
21,2,2020,6,55,7,4,5,5,9,11,4
21,2,2020,7,0,6,4,6,5,8,9,7
21,2,2020,7,5,7,6,6,6,6,8,6
21,2,2020,7,10,5,6,5,6,7,11,8
21,2,2020,7,15,5,4,5,6,8,8,8
21,2,2020,7,20,7,4,7,6,10,8,11
21,2,2020,7,25,10,6,8,6,9,8,9
21,2,2020,7,30,10,7,6,6,11,8,8
21,2,2020,7,35,10,8,5,6,8,10,7
21,2,2020,7,40,11,10,7,6,10,10,7
21,2,2020,7,45,10,9,8,6,7,8,7
21,2,2020,7,50,11,7,8,7,8,9,8
21,2,2020,7,55,7,7,9,7,12,8,7
21,2,2020,8,0,9,5,10,8,12,5,6
21,2,2020,8,5,9,7,7,8,11,10,6
21,2,2020,8,10,10,8,7,9,11,7,6
21,2,2020,8,15,11,8,6,9,12,6,6
21,2,2020,8,20,10,8,5,7,9,8,6
21,2,2020,8,25,9,7,5,6,11,8,9
21,2,2020,8,30,7,8,8,6,14,8,8
21,2,2020,8,35,8,9,7,9,14,8,7
21,2,2020,8,40,7,10,7,8,13,9,7
21,2,2020,8,45,5,9,6,7,11,6,6
21,2,2020,8,50,4,9,6,6,13,6,4
21,2,2020,8,55,5,8,5,5,14,5,5
21,2,2020,9,0,4,11,5,6,13,7,6
21,2,2020,9,5,5,12,7,5,11,6,8
21,2,2020,9,10,4,11,8,5,11,5,7
21,2,2020,9,15,5,12,9,6,10,3,10
21,2,2020,9,20,4,12,7,7,13,4,8
21,2,2020,9,25,6,9,9,7,14,4,6
21,2,2020,9,30,6,7,9,8,12,7,6
21,2,2020,9,35,7,7,7,7,14,8,7
21,2,2020,9,40,6,10,10,9,11,8,9
21,2,2020,9,45,7,7,7,9,11,9,10
21,2,2020,9,50,9,10,6,9,15,6,11
21,2,2020,9,55,10,11,6,9,13,7,9
21,2,2020,10,0,9,10,3,9,10,7,9
21,2,2020,10,5,8,12,6,9,10,8,10
21,2,2020,10,10,7,10,6,10,10,9,11
21,2,2020,10,15,7,12,6,10,11,6,7
21,2,2020,10,20,7,10,5,8,12,9,6
21,2,2020,10,25,9,13,7,7,11,10,8
21,2,2020,10,30,8,11,8,6,11,10,8
21,2,2020,10,35,9,12,7,5,11,8,7
21,2,2020,10,40,7,16,7,6,13,8,6
21,2,2020,10,45,6,12,8,5,11,9,9
21,2,2020,10,50,7,11,9,9,11,8,10
21,2,2020,10,55,8,13,12,9,13,7,10
21,2,2020,11,0,8,14,13,11,11,7,9
21,2,2020,11,5,8,17,11,10,8,8,12
21,2,2020,11,10,7,15,12,10,12,9,11
21,2,2020,11,15,7,16,11,10,11,9,13
21,2,2020,11,20,5,15,11,9,14,8,11
21,2,2020,11,25,4,17,10,8,14,9,9
21,2,2020,11,30,9,16,11,9,13,6,12
21,2,2020,11,35,10,17,9,10,14,6,10
21,2,2020,11,40,11,17,9,9,13,6,8
21,2,2020,11,45,12,17,14,11,16,5,11
21,2,2020,11,50,12,16,11,11,21,7,12
21,2,2020,11,55,12,17,12,12,17,8,13
21,2,2020,12,0,12,14,12,11,22,8,14
21,2,2020,12,5,15,13,12,10,21,8,14
21,2,2020,12,10,14,12,11,11,20,5,14
21,2,2020,12,15,14,10,9,10,21,6,14
21,2,2020,12,20,13,14,9,7,20,5,15
21,2,2020,12,25,12,13,9,7,23,5,17
21,2,2020,12,30,9,12,10,9,18,5,15
21,2,2020,12,35,7,13,7,11,15,6,16
21,2,2020,12,40,8,13,9,11,20,6,15
21,2,2020,12,45,9,12,10,9,22,10,16
21,2,2020,12,50,9,12,8,7,19,7,16
21,2,2020,12,55,7,13,9,8,12,8,14
21,2,2020,13,0,9,12,9,9,17,6,12
21,2,2020,13,5,9,9,7,11,18,6,13
21,2,2020,13,10,8,12,7,8,17,7,9
21,2,2020,13,15,7,9,6,8,22,7,11
21,2,2020,13,20,7,10,5,8,16,8,11
21,2,2020,13,25,8,8,9,7,17,8,12
21,2,2020,13,30,8,8,9,9,18,8,12
21,2,2020,13,35,7,9,10,7,17,10,12
21,2,2020,13,40,8,12,8,6,17,14,10
21,2,2020,13,45,9,11,11,6,18,15,15
21,2,2020,13,50,7,12,12,6,22,10,13
21,2,2020,13,55,7,9,12,8,26,8,14
21,2,2020,14,0,9,12,16,6,23,10,13
21,2,2020,14,5,10,15,12,6,25,8,14
21,2,2020,14,10,9,17,11,6,20,8,13
21,2,2020,14,15,9,16,11,6,18,9,13
21,2,2020,14,20,6,17,13,8,19,7,12
21,2,2020,14,25,8,14,15,7,18,8,12
21,2,2020,14,30,9,14,14,7,22,9,14
21,2,2020,14,35,7,13,15,9,17,10,13
21,2,2020,14,40,7,14,13,11,17,9,16
21,2,2020,14,45,8,13,10,12,20,7,16
21,2,2020,14,50,6,10,10,14,18,8,19
21,2,2020,14,55,4,15,10,13,21,8,16
21,2,2020,15,0,7,16,10,14,20,9,16
21,2,2020,15,5,8,18,12,11,21,9,13
21,2,2020,15,10,11,18,10,11,23,10,13
21,2,2020,15,15,10,19,12,9,21,11,13
21,2,2020,15,20,10,18,8,8,23,10,14
21,2,2020,15,25,10,13,7,7,21,11,14
21,2,2020,15,30,7,17,5,6,15,11,13
21,2,2020,15,35,9,18,7,7,18,9,11
21,2,2020,15,40,13,14,8,7,13,8,14
21,2,2020,15,45,15,15,8,9,12,7,12
21,2,2020,15,50,12,14,7,12,14,8,12
21,2,2020,15,55,11,18,9,11,9,7,11
21,2,2020,16,0,13,18,11,9,8,8,12
21,2,2020,16,5,12,17,15,8,9,7,14
21,2,2020,16,10,13,14,16,8,13,7,12
21,2,2020,16,15,12,16,14,9,14,8,13
21,2,2020,16,20,13,16,15,8,15,9,9
21,2,2020,16,25,15,15,14,9,20,10,10
21,2,2020,16,30,13,18,13,10,20,11,10
21,2,2020,16,35,14,19,10,11,22,12,10
21,2,2020,16,40,14,22,12,11,23,9,11
21,2,2020,16,45,14,17,12,9,20,10,14
21,2,2020,16,50,13,13,11,9,24,10,11
21,2,2020,16,55,10,13,12,10,16,9,12
21,2,2020,17,0,7,14,12,11,15,8,14
21,2,2020,17,5,5,15,11,13,19,7,15
21,2,2020,17,10,7,14,13,11,19,8,13
21,2,2020,17,15,10,13,11,11,17,10,15
21,2,2020,17,20,8,13,14,13,15,10,17
21,2,2020,17,25,10,14,15,15,15,9,18
21,2,2020,17,30,16,14,12,13,17,9,18
21,2,2020,17,35,12,15,7,13,17,12,20
21,2,2020,17,40,12,14,9,15,17,11,19
21,2,2020,17,45,9,11,10,11,22,9,18
21,2,2020,17,50,9,12,8,9,23,8,18
21,2,2020,17,55,9,11,9,10,23,9,18
21,2,2020,18,0,11,13,10,9,21,8,15
21,2,2020,18,5,13,11,15,8,17,10,16
21,2,2020,18,10,12,12,9,9,22,10,20
21,2,2020,18,15,12,14,8,8,20,8,18
21,2,2020,18,20,14,15,11,8,22,10,17
21,2,2020,18,25,11,17,9,9,25,11,14
21,2,2020,18,30,14,13,9,11,25,9,14
21,2,2020,18,35,14,13,7,6,26,8,14
21,2,2020,18,40,12,14,8,8,25,8,13
21,2,2020,18,45,15,17,7,11,26,11,13
21,2,2020,18,50,16,15,8,11,24,11,13
21,2,2020,18,55,13,14,13,10,24,14,12
21,2,2020,19,0,15,13,10,11,25,12,13
21,2,2020,19,5,17,12,8,14,21,10,13
21,2,2020,19,10,17,12,9,13,23,7,10
21,2,2020,19,15,16,13,9,12,26,8,10
21,2,2020,19,20,20,12,10,10,25,11,10
21,2,2020,19,25,19,11,10,12,21,8,11
21,2,2020,19,30,19,12,9,10,22,5,13
21,2,2020,19,35,18,13,8,9,22,5,12
21,2,2020,19,40,17,13,8,10,21,4,14
21,2,2020,19,45,17,13,10,10,16,6,12
21,2,2020,19,50,20,11,8,10,18,8,11
21,2,2020,19,55,15,11,5,11,19,5,13
21,2,2020,20,0,14,12,8,13,20,6,11
21,2,2020,20,5,13,17,8,12,23,9,11
21,2,2020,20,10,15,15,7,15,22,9,12
21,2,2020,20,15,14,17,7,12,28,9,12
21,2,2020,20,20,12,19,10,12,23,12,10
21,2,2020,20,25,13,15,11,13,18,9,8
21,2,2020,20,30,12,15,11,11,21,11,8
21,2,2020,20,35,11,11,12,10,21,13,6
21,2,2020,20,40,10,11,11,9,25,10,6
21,2,2020,20,45,9,12,12,11,25,14,5
21,2,2020,20,50,10,11,12,9,29,14,6
21,2,2020,20,55,10,14,16,10,25,12,6
21,2,2020,21,0,10,10,13,11,19,11,4
21,2,2020,21,5,11,12,13,9,19,13,3
21,2,2020,21,10,10,17,9,7,20,14,5
21,2,2020,21,15,9,14,9,8,18,14,4
21,2,2020,21,20,7,13,11,10,22,16,4
21,2,2020,21,25,9,14,8,10,22,12,6
21,2,2020,21,30,7,15,11,9,24,13,9
21,2,2020,21,35,8,14,10,8,21,12,11
21,2,2020,21,40,10,15,11,8,19,16,14
21,2,2020,21,45,14,15,12,11,21,14,14
21,2,2020,21,50,15,13,8,9,22,14,14
21,2,2020,21,55,15,13,6,10,25,13,13
21,2,2020,22,0,14,17,8,12,25,15,13
21,2,2020,22,5,14,18,10,11,22,14,13
21,2,2020,22,10,14,19,10,10,24,12,11
21,2,2020,22,15,11,20,10,11,18,11,11
21,2,2020,22,20,12,17,11,9,18,10,11
21,2,2020,22,25,14,19,12,9,22,11,11
21,2,2020,22,30,11,16,6,9,23,13,13
21,2,2020,22,35,12,15,7,10,22,13,13
21,2,2020,22,40,13,17,6,10,25,15,11
21,2,2020,22,45,14,15,8,8,17,11,11
21,2,2020,22,50,13,12,8,11,17,10,11
21,2,2020,22,55,10,13,5,10,17,12,9
21,2,2020,23,0,7,13,6,7,18,12,11
21,2,2020,23,5,6,17,8,10,19,13,11
21,2,2020,23,10,6,14,8,10,15,12,11
21,2,2020,23,15,9,11,8,5,14,11,9
21,2,2020,23,20,9,12,8,5,16,14,9
21,2,2020,23,25,6,13,8,4,15,16,9
21,2,2020,23,30,8,10,8,4,11,15,9
21,2,2020,23,35,9,13,8,3,14,18,9
21,2,2020,23,40,9,15,8,5,16,18,9
21,2,2020,23,45,8,11,10,7,11,15,9
21,2,2020,23,50,8,11,8,9,13,15,11
